HomeAway,Team,Revenue,Spread
Away,Duke,6577.49,-33.5
Home,New Mexico State,6276,-55
Away,South Carolina,6976.75,-26.5
Home,Southern Miss,11046.51,-37
Home,Ole Miss,10583.75,-37.5
Away,Texas A&M,9794.25,-17
Home,Tennessee,10607.75,-34.5
Home,Arkansas,9842.75,-32
Home,LSU,4818.51,-6.5
Away,Mississippi State,9666.75,-19
Home,Western Carolina,9901.75,-58
Away,Auburn,4549.25,-3.5
Away,Missouri,13644.55,-27.5
Home,Texas A&M,12752.75,-17.5
Away,Ole Miss,11357.82,-23.5
Home,Georgia,14549.2,-4.5
Away,Tennessee,10508.81,-21.5
Home,Mississippi State,10178.21,-31
Home,Kentucky,13197.16,-30
Home,Auburn,12618.75,-24.5
Away,LSU,6799.47,-29
Away,Arkansas,5457.99,-32
Away,Florida,3229.65,-17
Away,Miami,11059.8,-19.5
Home,Mercer,11971.6,-54.5
Away,Florida,12857.33,-14.5
Home,Southern Miss,11409.28,-45
Home,Ole Miss,14056.68,-14.5
Away,Texas A&M,14334.89,-18
Away,Mississippi State,12808.21,-17.5
Home,Tennessee,14653.17,-25
Home,LSU,14542.07,-28.5
Home,New Mexico State,14599.96,-51.5
Home,Arkansas,13141,-20.5
Away,Auburn,6793.19,-19.5
Away,Georgia,13960.2,6.5
Away,Cincinnati,5882.79,-13.5
Home,Utah State,10329.35,-41.5
Away,Texas,11948.73,-20
Home,ULM,13462.85,-49.5
Home,Vanderbilt,10663.84,-40.5
Away,Arkansas,11372.3,-17.5
Home,Texas A&M,17181.04,-24
Away,Tennessee,10540.55,-7.5
Home,Mississippi State,15538.54,-21
Away,LSU,13508.69,-13.5
Away,Ole Miss,10327.54,-11.5
Home,Austin Peay,8466.9,-100
Home,Auburn,12614.06,-22
Home,Middle Tennessee,9140.11,-39
Home,Texas,13969.2,-7
Away,South Florida,9488.8,-31.5
Home,Ole Miss,16968.55,-6.5
Away,Mississippi State,12537.52,-14.5
Away,Texas A&M,11754.53,-2.5
Home,Arkansas,18056.62,-19.5
Home,Tennessee,14683.8,-9.5
Home,LSU,13088.15,-3
Away,Kentucky,8243.07,-10.5
Home,Chattanooga,7078.16,-100
Away,Auburn,5584.9,-14.5
Away,Georgia,12713.07,5.5
Home,Western Kentucky,8757.31,-35
Home,USF,9957.05,-28
Away,Wisconsin,10381.4,-10
Home,Georgia,13335.15,-3
Away,Vanderbilt,9536.39,-24
Home,South Carolina,20628.79,-21
Away,Tennessee,10156.14,-7
Home,Missouri,13724.6,-17
Away,LSU,12020.69,-6
Home,Mercer,12305.47,-100
Away,Oklahoma,4486.38,-14.5
Away,Louisville,7031.77,-24.5
Home,Arkansas State,7352.49,-36.5
Away,Ole Miss,6777.55,-21.5
Home,Texas A&M,11662.76,-26
Home,Louisiana,14142.75,-48.5
Away,Arkansas,8648.99,-35
Home,Missouri,10647,-28.5
Away,Tennessee,10309.12,-29
Away,LSU,8974.56,-14.5
Home,Mississippi State,11198.24,-24.5
Home,The Citadel,9579.5,-100
Home,Auburn,13263.75,-24
